file_id,path,filename,source_key,source_priority,curated,sha256,size_bytes,format,width,height,thumbnail,preview
file_8bd56950f54193ed,C:\GitHub\httpssgphs.org\images\timeline\beaumont-depot-1909.png,beaumont-depot-1909.png,sgphs-timeline,80,False,7d5ca95f93875511cd7f984d686c3e9445ff0ae3ebb8eeaed48a3c2d410c693e,357982,PNG,729,461,assets/thumbs/file_8bd56950f54193ed.jpg,assets/previews/file_8bd56950f54193ed.jpg
file_d89d04468f534a36,C:\GitHub\httpssgphs.org\images\timeline\beaumont-fire-dept-1971.png,beaumont-fire-dept-1971.png,sgphs-timeline,80,False,99513d3e3cd01fb108eb62b333d03e8ce1798697cec8615b8afc7bc768f7b0e6,1352840,PNG,1594,1050,assets/thumbs/file_d89d04468f534a36.jpg,assets/previews/file_d89d04468f534a36.jpg
file_aeecc98513e487fb,C:\GitHub\httpssgphs.org\images\timeline\beaumont-high-school-1930.jpg,beaumont-high-school-1930.jpg,sgphs-timeline,80,False,19579b8aaa1a387f68c257f71d9cd6a40fcc1e274f78790510e86be27aa15ae5,181989,JPEG,937,621,assets/thumbs/file_aeecc98513e487fb.jpg,assets/previews/file_aeecc98513e487fb.jpg
file_90d681e94af5251c,C:\GitHub\httpssgphs.org\images\timeline\beaumont-high-school-1942.jpg,beaumont-high-school-1942.jpg,sgphs-timeline,80,False,098367b1d027abff2b9007457f48db1781b0e80548c7d4f8b4c0c8a164168087,2642642,JPEG,4032,3024,assets/thumbs/file_90d681e94af5251c.jpg,assets/previews/file_90d681e94af5251c.jpg
file_2e767759fde926ac,C:\GitHub\httpssgphs.org\images\timeline\beaumont-hotel-c1890.jpg,beaumont-hotel-c1890.jpg,sgphs-timeline,80,False,df296ea855f8f5fd14ca82d4ce65dac079003333d74614876a553f5d96df9da0,575640,JPEG,1024,805,assets/thumbs/file_2e767759fde926ac.jpg,assets/previews/file_2e767759fde926ac.jpg
file_9482dc8ee01375bf,C:\GitHub\httpssgphs.org\images\timeline\centennial-2012.jpg,centennial-2012.jpg,sgphs-timeline,80,False,19a1bf88a404843676a12a459da8ededc95f2ac8329cf9c622d94e88807793c7,541372,JPEG,1762,1570,assets/thumbs/file_9482dc8ee01375bf.jpg,assets/previews/file_9482dc8ee01375bf.jpg
file_9c627864db92ffd5,C:\GitHub\httpssgphs.org\images\timeline\cherry-festival-queen-1919.jpg,cherry-festival-queen-1919.jpg,sgphs-timeline,80,False,e57e73ec33db743264e6b3bd1ca7b07a3a735a5251f5db700dfc799e191406a0,2514913,JPEG,4032,2661,assets/thumbs/file_9c627864db92ffd5.jpg,assets/previews/file_9c627864db92ffd5.jpg
file_83dd3466728e72a4,C:\GitHub\httpssgphs.org\images\timeline\cherry-parade-1947.jpg,cherry-parade-1947.jpg,sgphs-timeline,80,False,e5735005aca1de36eb9d49fe8eb047a54776a2048f41ad7174abb724d02beb29,74735,JPEG,500,393,assets/thumbs/file_83dd3466728e72a4.jpg,assets/previews/file_83dd3466728e72a4.jpg
file_6edb716353a85e0b,C:\GitHub\httpssgphs.org\images\timeline\cherry-valley-naval-hospital-1943.jpg,cherry-valley-naval-hospital-1943.jpg,sgphs-timeline,80,False,c51bd72a1d0d64394b5cfa4549360e460daa7d1085100f6e75952660b2fa3c94,62902,JPEG,1024,571,assets/thumbs/file_6edb716353a85e0b.jpg,assets/previews/file_6edb716353a85e0b.jpg
file_a3b7541820c1cdd0,C:\GitHub\httpssgphs.org\images\timeline\depot-workers-1940s.jpg,depot-workers-1940s.jpg,sgphs-timeline,80,False,16f90b03e20c7ee145f35588cf9ed9aa7e5466565291e92f33c8b43c0aea6a66,1397149,JPEG,3417,2196,assets/thumbs/file_a3b7541820c1cdd0.jpg,assets/previews/file_a3b7541820c1cdd0.jpg
